N05AL004012,N05AA02012
N05AL004201,N05AA02201
N05AL004701,N05AA02701
N05AT016021,N05AC02021
N05AT016041,N05AC02041
N05AP011701,N05AC04701
N05AH001011,N05AD01011
N05AH001012,N05AD01012
N05AH001201,N05AD01201
N05AH001701,N05AD01701
N05AC032011,N05AH02011
N05AC032013,N05AH02013
N05AL014141,N05AN01141
N05BD013141,N05BA01141
N05BD013142,N05BA01142
N03AD013701,N05BA01701
N05BL017011,N05BA06011
N05BL017012,N05BA06012
N05BA014011,N05BA12011
N05BA014012,N05BA12012
R06AH014701,N05BB01701
N05BM023011,N05CD08011
N01AM023701,N05CD08701
N06AI005021,N06AA02021
N06AI005022,N06AA02022
N06AA024011,N06AA09011
N06AF013141,N06AB03141
N06AF013201,N06AB03201
N06AT023011,N06AX05011
N06BM012011,N06BA04011
N07AN004701,N07AA01701
N07AP014011,N07AA02011
P01AM020011,P01AB01011
P01AM020012,P01AB01012
P01AM022231,P01AB01231
P01AM022232,P01AB01232
P01AT012011,P01AB02011
P01AT012231,P01AB02231
P01AT003011,P01AC04011
P01BC028141,P01BA01141
P01BC028221,P01BA01221
P01BC028701,P01BA01701
P01BC028702,P01BA01702
P01BP029141,P01BA03142
P01BQ003101,P01BC01101
P01BQ003102,P01BC01102
P01BQ003103,P01BC01103
P01BQ002701,P01BC01701
P01AM005011,P01BC02011
P01BP016141,P01BD01141
P01BP017141,P01BD51141
P01BP017231,P01BD51231
P01CM006701,P01CB01701
P01CN007011,P01CC01011
P01CP008461,P01CX01461
P01CP008721,P01CX01721
P02BP025012,P02BA01012
P02CM003011,P02CA01011
P02CM003231,P02CA01231
P02CA008011,P02CA03011
P02CA008231,P02CA03231
P02CP010221,P02CB01221
P02CP012141,P02CC01141
P02CP012231,P02CC01231
P03AB003371,P03AX01371
R01AO006421,R01AA05421
R01AO006422,R01AA05422
R01AC041421,R01AC01421
R01AC041422,R01AC01422
R03BB002452,R01AD01452
R01AI017471,R01AX03471
R03AS001461,R03AC02461
R03AS001471,R03AC02471
R03AT005461,R03AC03461
R03BB002451,R03BA01451
R03CS001012,R03CC02012
R03CS001221,R03CC02221
R03CS001701,R03CC02701
R03CT005011,R03CC03011
R03CT005221,R03CC03221
R03CT005701,R03CC03701
R03DT004141,R03DA04141
R03DT004151,R03DA04151
R03DT004211,R03DA04211
R03DA022011,R03DA05011
R03DA022701,R03DA05701
R05CA005451,R05CB01451
R06AD018101,R06AA02101
R06AD018221,R06AA02221
R06AD018701,R06AA02701
R06AC027011,R06AB04011
R06AC026221,R06AB04221
R06AL016011,R06AX13011
R06AL016221,R06AX13221
R03DK003011,R06AX17011
R03DK003221,R06AX17221
R07AS023711,R07AA02711
S01AC025601,S01AA01601
S01AG003601,S01AA11601
S01AG003611,S01AA11611
S01AS019601,S01AB04601
S01AS019602,S01AB04602
S01AA006611,S01AD03611
S01BC037601,S01B1BA601
S01BF011601,S01BA07601
S01BP028601,S01CA02601
S01EP009602,S01EB01602
S01EA002011,S01EC01011
S01ET011601,S01ED01601
S01ET011602,S01ED01602
S01FA033602,S01FA01602
S01FT026601,S01FA56601
S01GC041601,S01GX01601
S01GC041602,S01GX01602
S01HP033601,S01HA04601
S01HT007601,S01HA30601
S01JF010601,S01JA01601
S02CC036401,S02CA06401
S01CC038601,S03CA01601
V03AE001701,V03AB03701
V03AS009701,V03AB08701
B02AP036701,V03AB14701
V03AN001701,V03AB15701
V03AA010701,V03AB16701
V03AA036701,V03AB17701
V03AF007701,V03AB19701
R05CA005701,V03AB23701
V03AD004721,V03AC01721
V07AR002251,V03AE01251
V03AS024011,V03AE02011
V03AF015011,V03AF03011
V07AO005901,V03AN01901
V07AA007701,V07AB99701
V08AD012231,V08AA01231
V08AD011701,V08AA01701
V08AD012701,V08AA01702
V08AI014701,V08AB02701
V08AI014702,V08AB02702
V08AI021701,V08AB07701
V08BB001251,V08BA01251
BO2BF001721,
BO2BF001722,
BO2BF001723,
S01JF010621,
V03AF015701,
D01BG007011,
S01AI003601,
R03CS001011,
V03AS007701,
A01AS005021,
V08AI015101,
B05XS008701,
B05XS008702,
J06AS018701,
J01CT010721,
J01CT010722,
A10BT017011,
N06AT022011,
N06AT023701,
N04AT024011,
M03AT027701,
J07BV006701,
J07BV003701,
J07BV007701,
H01BV014711,
