Autoid;CUP;Valor;Compania
2001;902015;15230;CLINICA SAN JUAN DE DIOS
2001;906813;30400;CLINICA SAN JUAN DE DIOS
2001;902014;13910;CLINICA SAN JUAN DE DIOS
2001;906910;30510;CLINICA SAN JUAN DE DIOS
2001;906911;4820;CLINICA SAN JUAN DE DIOS
2001;902016;13910;CLINICA SAN JUAN DE DIOS
2001;902017;13910;CLINICA SAN JUAN DE DIOS
2001;902018;13910;CLINICA SAN JUAN DE DIOS
2001;902019;44500;CLINICA SAN JUAN DE DIOS
2001;902020;13910;CLINICA SAN JUAN DE DIOS
2001;902021;13910;CLINICA SAN JUAN DE DIOS
2001;902022;13910;CLINICA SAN JUAN DE DIOS
2001;902023;13910;CLINICA SAN JUAN DE DIOS
2001;906814;43600;CLINICA SAN JUAN DE DIOS
2001;905308;11750;CLINICA SAN JUAN DE DIOS
2001;908109;4840;CLINICA SAN JUAN DE DIOS
2001;905210;32680;CLINICA SAN JUAN DE DIOS
2001;905213;22370;CLINICA SAN JUAN DE DIOS
2001;905216;22370;CLINICA SAN JUAN DE DIOS
2001;905310;12800;CLINICA SAN JUAN DE DIOS
2001;911014;12585;CLINICA SAN JUAN DE DIOS
2001;911013;12585;CLINICA SAN JUAN DE DIOS
2001;903016;16145;CLINICA SAN JUAN DE DIOS
2001;E19437;4570;CLINICA SAN JUAN DE DIOS
2001;902024;5855;CLINICA SAN JUAN DE DIOS
2001;E19443;3330;CLINICA SAN JUAN DE DIOS
2001;903830;3930;CLINICA SAN JUAN DE DIOS
2001;M19449;30720;CLINICA SAN JUAN DE DIOS
2001;903832;16790;CLINICA SAN JUAN DE DIOS
2001;903833;3805;CLINICA SAN JUAN DE DIOS
2001;M19455;13675;CLINICA SAN JUAN DE DIOS
2001;903834;45780;CLINICA SAN JUAN DE DIOS
2001;906422;89010;CLINICA SAN JUAN DE DIOS
2001;906423;89010;CLINICA SAN JUAN DE DIOS
2001;903835;3900;CLINICA SAN JUAN DE DIOS
2001;903836;7915;CLINICA SAN JUAN DE DIOS
2001;903837;30400;CLINICA SAN JUAN DE DIOS
2001;907005;3125;CLINICA SAN JUAN DE DIOS
2001;903425;8370;CLINICA SAN JUAN DE DIOS
2001;903301;7920;CLINICA SAN JUAN DE DIOS
2001;908302;18465;CLINICA SAN JUAN DE DIOS
2001;903838;9760;CLINICA SAN JUAN DE DIOS
2001;906116;53185;CLINICA SAN JUAN DE DIOS
2001;903839;12690;CLINICA SAN JUAN DE DIOS
2001;906624;28945;CLINICA SAN JUAN DE DIOS
2001;905405;18505;CLINICA SAN JUAN DE DIOS
2001;904901;23420;CLINICA SAN JUAN DE DIOS
2001;902108;15500;CLINICA SAN JUAN DE DIOS
2001;902109;26715;CLINICA SAN JUAN DE DIOS
2001;903840;3125;CLINICA SAN JUAN DE DIOS
2001;903841;3095;CLINICA SAN JUAN DE DIOS
2001;903842;10040;CLINICA SAN JUAN DE DIOS
2001;903843;8575;CLINICA SAN JUAN DE DIOS
